iter	RMSE
0	14.85106833
1	14.47727767
2	14.09845182
3	13.72724453
4	13.39510959
5	13.09959286
6	12.7983582
7	12.52525499
8	12.26013222
9	11.96250185
10	11.66996531
11	11.42560686
12	11.14996221
13	10.9036258
14	10.66485928
15	10.42271944
16	10.19966437
17	9.99140056
18	9.773546795
19	9.590233249
20	9.417928534
21	9.262497772
22	9.107865151
23	8.953731352
24	8.802323375
25	8.668009016
26	8.526829061
27	8.40051651
28	8.280570577
29	8.153173229
30	8.035496557
31	7.908477654
32	7.797558473
33	7.694189721
34	7.587816542
35	7.491670977
36	7.396820088
37	7.31535032
38	7.226380169
39	7.148875364
40	7.06372483
41	7.004274717
42	6.924026757
43	6.857855011
44	6.78887053
45	6.727627828
46	6.661105479
47	6.60624244
48	6.541511086
49	6.487778191
50	6.44243051
51	6.387258094
52	6.342916721
53	6.294524467
54	6.254631314
55	6.212271878
56	6.170821183
57	6.133292345
58	6.099392725
59	6.068674913
60	6.035583967
61	6.002224811
62	5.973615224
63	5.941470243
64	5.911598863
65	5.883017564
66	5.855841076
67	5.829969232
68	5.807970838
69	5.781948979
70	5.755989424
71	5.73544565
72	5.718711212
73	5.695415944
74	5.676507229
75	5.656017423
76	5.639583531
77	5.624829117
78	5.610697095
79	5.595116538
80	5.574433153
81	5.560830846
82	5.5426021
83	5.527744739
84	5.511776158
85	5.491853313
86	5.479463436
87	5.468830768
88	5.456301821
89	5.444446419
90	5.430949987
91	5.422010279
92	5.407206111
93	5.400831302
94	5.389809707
95	5.377557058
96	5.369321054
97	5.35842731
98	5.348128306
99	5.338220991
100	5.325223764
101	5.317663401
102	5.309123947
103	5.297361715
104	5.288742226
105	5.280542427
106	5.271685673
107	5.265488735
108	5.260469384
109	5.253521762
110	5.243570906
111	5.237815584
112	5.232931525
113	5.225202626
114	5.220821083
115	5.214569792
116	5.207023623
117	5.203023136
118	5.197287468
119	5.191302417
120	5.184918057
121	5.178511062
122	5.172550091
123	5.166639593
124	5.163322625
125	5.157514955
126	5.153862139
127	5.146104127
128	5.141262845
129	5.137610159
130	5.130902038
131	5.126123526
132	5.116604068
133	5.114235466
134	5.110229734
135	5.10684104
136	5.101254113
137	5.095453904
138	5.086371364
139	5.083709944
140	5.07792703
141	5.073228056
142	5.068968566
143	5.063347428
144	5.057542834
145	5.05657919
146	5.05013519
147	5.048654001
148	5.045612465
149	5.041754345
150	5.038273506
151	5.033039647
152	5.032586523
153	5.027328776
154	5.022144847
155	5.017872043
156	5.014493699
157	5.008242791
158	5.003264349
159	4.998094263
160	4.995792744
161	4.990608352
162	4.986042482
163	4.980697417
164	4.980345162
165	4.977564599
166	4.974041728
167	4.966690675
168	4.962656234
169	4.957145306
170	4.951769738
171	4.947323799
172	4.944856291
173	4.941651063
174	4.939853301
175	4.934397822
176	4.931356316
177	4.930528889
178	4.92749097
179	4.925450117
180	4.92055241
181	4.916269177
182	4.9130907
183	4.908491982
184	4.905024299
185	4.903173736
186	4.900262
187	4.898991314
188	4.893422695
189	4.889353877
190	4.884244589
191	4.880004908
192	4.875795072
193	4.870512093
194	4.866497044
195	4.864702482
196	4.86168772
197	4.855354287
198	4.854224882
199	4.852129146
200	4.850964879
201	4.845841518
202	4.842565005
203	4.836375095
204	4.831767052
205	4.829169423
206	4.826352823
207	4.823341921
208	4.820703093
209	4.818519143
210	4.813950451
211	4.812034384
212	4.809898437
213	4.808456237
214	4.806157949
215	4.800344077
216	4.797208503
217	4.792867722
218	4.78689477
219	4.780780956
220	4.778783504
221	4.775985805
222	4.774505996
223	4.769865261
224	4.766259753
225	4.762719512
226	4.75919797
227	4.756347855
228	4.755426288
229	4.752607739
230	4.750011318
231	4.74539439
232	4.741441918
233	4.737384289
234	4.736609098
235	4.733172354
236	4.727085796
237	4.722261745
238	4.71705898
239	4.71262557
240	4.709875386
241	4.706495262
242	4.704110652
243	4.700914705
244	4.695969432
245	4.695204787
246	4.691486449
247	4.686913635
248	4.685175886
249	4.681694492
250	4.679890293
251	4.676435908
252	4.673013302
253	4.668541806
254	4.66617773
255	4.664306125
256	4.65958317
257	4.654985987
258	4.651600838
259	4.647018577
260	4.644888833
261	4.641046581
262	4.636427883
263	4.633045631
264	4.631516736
265	4.628741899
266	4.625314646
267	4.621905428
268	4.614835686
269	4.610388683
270	4.607506912
271	4.605302879
272	4.601363248
273	4.597636898
274	4.596397945
275	4.590656217
276	4.588791403
277	4.587667152
278	4.584103918
279	4.580131246
280	4.577309986
281	4.573397564
282	4.567990348
283	4.565144764
284	4.559707759
285	4.558176192
286	4.556455618
287	4.550963155
288	4.548121294
289	4.546936461
290	4.544882596
291	4.542348511
292	4.541075771
293	4.538459301
294	4.536537036
295	4.531958091
296	4.527101539
297	4.524560349
298	4.521995562
299	4.519910358
300	4.516678084
301	4.510962475
302	4.509063697
303	4.50712323
304	4.503478404
305	4.499319912
306	4.498647414
307	4.494176832
308	4.492010721
309	4.486938046
310	4.484729582
311	4.480140894
312	4.473977254
313	4.469660892
314	4.468596685
315	4.464329145
316	4.458276988
317	4.454103475
318	4.452431069
319	4.45138834
320	4.449650081
321	4.446046713
322	4.442538037
323	4.437179576
324	4.432462786
325	4.431474125
326	4.430657939
327	4.428243899
328	4.427108175
329	4.42265531
330	4.418649231
331	4.416129517
332	4.414929944
333	4.414375169
334	4.410143042
335	4.409526951
336	4.404895207
337	4.402494292
338	4.398497586
339	4.39492099
340	4.390263393
341	4.389759093
342	4.385013468
343	4.382596235
344	4.382083893
345	4.381416223
346	4.379490161
347	4.374766298
348	4.371606211
349	4.369371575
350	4.363911721
351	4.361835937
352	4.35689217
353	4.355961584
354	4.353830284
355	4.349342691
356	4.347555221
357	4.346586836
358	4.343863543
359	4.340653971
360	4.335377953
361	4.331162026
362	4.326003339
363	4.323813372
364	4.320465725
365	4.316407732
366	4.313560633
367	4.311344315
368	4.307564011
369	4.303628737
370	4.298884649
371	4.294080211
372	4.291198014
373	4.285475336
374	4.281528356
375	4.277973225
376	4.272653351
377	4.26816331
378	4.263907757
379	4.258746136
380	4.253403445
381	4.250226884
382	4.24945566
383	4.246931136
384	4.244203535
385	4.239725719
386	4.234919286
387	4.234037856
388	4.23272604
389	4.230770087
390	4.229383334
391	4.226095489
392	4.221963233
393	4.216511461
394	4.216039157
395	4.215449958
396	4.213020629
397	4.21216638
398	4.208570424
399	4.20572441
400	4.200759494
401	4.198827253
402	4.195341752
403	4.194202067
404	4.192139533
405	4.190285857
406	4.187620821
407	4.183964645
408	4.180746795
409	4.176670303
410	4.176339868
411	4.174014401
412	4.171114191
413	4.168545819
414	4.167995212
415	4.165545452
416	4.16333945
417	4.161512798
418	4.157346992
419	4.156308209
420	4.150915696
421	4.148126269
422	4.143706241
423	4.14023157
424	4.137406048
425	4.136558855
426	4.13298612
427	4.130659721
428	4.128608092
429	4.127768546
430	4.125516829
431	4.123247138
432	4.122256023
433	4.120280115
434	4.117540385
435	4.11692579
436	4.112825847
437	4.110232918
438	4.106896591
439	4.104360742
440	4.102571867
441	4.097497119
442	4.093742786
443	4.089102272
444	4.086734775
445	4.082753789
446	4.080150054
447	4.077664188
448	4.075579172
449	4.07377379
450	4.070043216
451	4.06770752
452	4.06704087
453	4.062670145
454	4.059801725
455	4.056102643
456	4.051798389
457	4.048331488
458	4.047691177
459	4.043479159
460	4.03969693
461	4.037990761
462	4.034569935
463	4.032860052
464	4.032059471
465	4.030730435
466	4.028503123
467	4.027260424
468	4.023670474
469	4.02231852
470	4.018375027
471	4.01441898
472	4.01345595
473	4.010643912
474	4.008059069
475	4.004727478
476	4.004331199
477	4.003430131
478	3.999247164
479	3.998397185
480	3.994916211
481	3.991529583
482	3.990170676
483	3.988438561
484	3.986086894
485	3.981482959
486	3.979896162
487	3.977402217
488	3.973574668
489	3.971671043
490	3.969328206
491	3.968588377
492	3.968185365
493	3.966731449
494	3.964062892
495	3.962132945
496	3.961759278
497	3.957844187
498	3.954901201
499	3.951953371
500	3.949340525
501	3.945876366
502	3.944047976
503	3.93983514
504	3.937159688
505	3.932638464
506	3.93025793
507	3.927524834
508	3.926984942
509	3.926564691
510	3.924536691
511	3.920957538
512	3.919114493
513	3.916134134
514	3.910782632
515	3.909722736
516	3.908300678
517	3.904990396
518	3.901795012
519	3.898157917
520	3.896916302
521	3.896448764
522	3.894181148
523	3.891989764
524	3.890699444
525	3.887727478
526	3.884256299
527	3.882581416
528	3.879979116
529	3.874345305
530	3.8713185
531	3.866790442
532	3.863422577
533	3.860328599
534	3.856778666
535	3.852847462
536	3.851964121
537	3.847632967
538	3.844462054
539	3.84285568
540	3.841253305
541	3.839742187
542	3.836696353
543	3.835711606
544	3.835161263
545	3.83313502
546	3.831995343
547	3.827781763
548	3.825501528
549	3.822980717
550	3.819269249
551	3.816771135
552	3.81634022
553	3.81581494
554	3.815455776
555	3.814013656
556	3.811652151
557	3.808202478
558	3.806224811
559	3.805769967
560	3.802391244
561	3.798100676
562	3.795899416
563	3.795333972
564	3.794743927
565	3.79438579
566	3.791076559
567	3.788401566
568	3.783523185
569	3.782117855
570	3.781122792
571	3.777788525
572	3.773277375
573	3.769762567
574	3.767974665
575	3.766767573
576	3.764201159
577	3.761188067
578	3.758470511
579	3.758190937
580	3.756159459
581	3.754278875
582	3.753981671
583	3.751937485
584	3.749873363
585	3.749390489
586	3.747483216
587	3.747128814
588	3.743786783
589	3.74141324
590	3.737446024
591	3.736823155
592	3.73309295
593	3.729587855
594	3.729009052
595	3.72782618
596	3.727260463
597	3.722832673
598	3.721374774
599	3.719459407
600	3.716196944
601	3.715838389
602	3.713626937
603	3.711507142
604	3.707619413
605	3.707118578
606	3.704489752
607	3.699725474
608	3.698070488
609	3.69669956
610	3.696411541
611	3.69441499
612	3.691788295
613	3.689854515
614	3.689158923
615	3.688751956
616	3.686403735
617	3.685979943
618	3.683578366
619	3.682463995
620	3.681192262
621	3.677321054
622	3.675197084
623	3.672631992
624	3.670447489
625	3.668862356
626	3.668009898
627	3.666386121
628	3.663976203
629	3.662881223
630	3.66257849
631	3.661577969
632	3.66126285
633	3.657717599
634	3.656880064
635	3.654727482
636	3.654101445
637	3.651090117
638	3.649249859
639	3.648504413
640	3.646550265
641	3.643753019
642	3.642846363
643	3.63927775
644	3.638595721
645	3.636173622
646	3.631719484
647	3.629308389
648	3.62540533
649	3.624703822
650	3.624451017
651	3.622346512
