iter	Passed	Remaining
0	48	48445
1	48	24338
2	49	16289
3	49	12267
4	49	9853
5	49	8241
6	49	7091
7	50	6227
8	50	5555
9	50	5018
10	50	4579
11	51	4213
12	51	3903
13	51	3639
14	51	3409
15	52	3208
16	52	3030
17	52	2872
18	52	2730
19	53	2603
20	53	2488
21	53	2383
22	53	2287
23	54	2199
24	54	2119
25	54	2046
26	54	1978
27	55	1913
28	55	1854
29	55	1798
30	55	1745
31	56	1696
32	56	1650
33	56	1607
34	56	1566
35	57	1527
36	57	1491
37	57	1456
38	57	1423
39	58	1392
40	58	1362
41	58	1334
42	58	1308
43	59	1282
44	59	1257
45	59	1234
46	59	1211
47	60	1191
48	60	1172
49	60	1154
50	61	1137
51	61	1120
52	61	1103
53	62	1087
54	62	1070
55	62	1054
56	62	1039
57	63	1024
58	63	1009
59	63	995
60	63	982
61	64	969
62	64	956
63	64	944
64	64	932
65	65	920
66	65	909
67	65	898
68	65	887
69	66	877
70	66	867
71	66	857
72	66	847
73	67	838
74	67	829
75	67	820
76	67	811
77	67	803
78	68	795
79	68	787
80	68	779
81	68	771
82	69	764
83	69	756
84	69	749
85	69	742
86	70	736
87	70	729
88	70	723
89	70	717
90	71	711
91	71	705
92	71	699
93	71	692
94	72	687
95	72	681
96	72	675
97	72	670
98	73	665
99	73	660
100	73	655
101	73	649
102	74	644
103	74	640
104	74	635
105	74	630
106	75	626
107	75	622
108	75	618
109	76	615
110	76	611
111	76	608
112	77	604
113	77	601
114	77	598
115	78	594
116	78	590
117	78	587
118	78	583
119	79	580
120	79	577
121	79	573
122	80	570
123	80	567
124	80	564
125	80	560
126	81	557
127	81	554
128	81	551
129	82	548
130	82	545
131	82	542
132	82	539
133	83	536
134	83	533
135	83	530
136	83	528
137	84	525
138	84	522
139	84	519
140	84	517
141	85	514
142	85	512
143	85	509
144	86	507
145	86	504
146	86	501
147	86	498
148	86	496
149	87	494
150	87	491
151	87	489
152	87	486
153	88	484
154	88	482
155	88	480
156	89	477
157	89	475
158	89	473
159	89	471
160	90	469
161	90	468
162	90	466
163	91	464
164	91	462
165	91	460
166	91	458
167	92	456
168	92	455
169	92	453
170	93	451
171	93	449
172	93	448
173	94	446
174	94	444
175	94	443
176	94	441
177	95	439
178	95	437
179	95	435
180	95	434
181	96	432
182	96	431
183	96	429
184	97	428
185	97	426
186	97	424
187	97	422
188	98	421
189	98	419
190	98	418
191	99	416
192	99	415
193	99	413
194	99	412
195	100	411
196	100	410
197	101	409
198	101	407
199	101	406
200	101	404
201	102	403
202	102	402
203	102	401
204	103	399
205	103	398
206	103	397
207	103	395
208	104	394
209	105	395
210	105	394
211	105	393
212	106	392
213	106	391
214	106	390
215	107	389
216	107	388
217	107	387
218	108	385
219	108	384
220	108	383
221	109	382
222	109	381
223	109	379
224	109	378
225	110	377
226	110	376
227	110	375
228	111	374
229	111	373
230	111	372
231	112	370
232	112	370
233	112	369
234	113	368
235	113	366
236	113	365
237	113	364
238	114	363
239	114	362
240	114	361
241	115	360
242	115	359
243	115	358
244	115	357
245	116	356
246	116	355
247	116	354
248	117	353
249	117	352
250	117	351
251	117	350
252	118	349
253	118	348
254	118	347
255	119	346
256	119	345
257	120	345
258	120	344
259	120	343
260	121	342
261	121	342
262	121	341
263	122	340
264	122	339
265	122	338
266	123	337
267	123	337
268	123	336
269	124	335
270	124	334
271	124	333
272	124	332
273	125	331
274	125	330
275	126	330
276	126	330
277	126	329
278	128	331
279	128	330
280	129	330
281	129	329
282	129	328
283	129	327
284	130	326
285	130	325
286	130	325
287	131	324
288	131	323
289	131	322
290	131	321
291	132	320
292	132	319
293	132	319
294	133	318
295	133	317
296	133	316
297	134	316
298	134	316
299	135	315
300	135	314
301	135	314
302	136	313
303	137	314
304	137	313
305	137	312
306	138	311
307	138	310
308	138	310
309	139	310
310	139	310
311	140	309
312	140	308
313	141	309
314	142	309
315	143	309
316	143	309
317	144	309
318	144	308
319	145	309
320	145	308
321	146	307
322	146	306
323	146	306
324	147	305
325	147	304
326	147	303
327	147	302
328	148	302
329	148	301
330	148	300
331	149	299
332	149	299
333	149	298
334	151	300
335	151	299
336	151	298
337	152	298
338	152	297
339	153	297
340	153	296
341	153	295
342	154	295
343	154	294
344	154	293
345	154	292
346	155	292
347	155	291
348	155	290
349	156	289
350	156	289
351	156	288
352	156	287
353	157	286
354	157	286
355	157	285
356	158	284
357	158	284
358	158	283
359	158	282
360	159	281
361	159	281
362	159	280
363	160	279
364	160	279
365	160	278
366	160	277
367	161	276
368	161	276
369	161	275
370	162	274
371	162	274
372	162	273
373	163	272
374	163	272
375	163	271
376	163	270
377	164	270
378	164	269
379	164	268
380	165	268
381	165	267
382	165	267
383	166	266
384	166	265
385	166	265
386	167	264
387	167	263
388	167	263
389	167	262
390	168	262
391	168	261
392	168	260
393	169	260
394	169	259
395	169	258
396	170	258
397	170	257
398	170	257
399	171	256
400	171	256
401	171	255
402	172	255
403	172	254
404	172	253
405	173	253
406	173	252
407	173	251
408	173	251
409	174	250
410	174	250
411	174	249
412	175	248
413	175	248
414	175	247
415	175	246
416	176	246
417	176	245
418	176	245
419	177	244
420	177	243
421	177	243
422	177	242
423	178	242
424	178	241
425	178	240
426	179	240
427	179	239
428	179	239
429	180	238
430	180	238
431	180	237
432	181	237
433	181	236
434	181	236
435	182	235
436	182	235
437	182	234
438	183	234
439	183	233
440	184	233
441	184	232
442	184	232
443	184	231
444	185	230
445	185	230
446	185	229
447	186	229
448	186	228
449	186	228
450	186	227
451	187	226
452	187	226
453	187	225
454	188	225
455	188	224
456	188	224
457	188	223
458	189	223
459	189	222
460	189	221
461	190	221
462	190	220
463	190	220
464	191	219
465	191	219
466	191	218
467	191	218
468	192	217
469	192	217
470	193	216
471	193	216
472	193	215
473	193	215
474	194	214
475	194	214
476	194	213
477	195	213
478	195	212
479	196	212
480	196	211
481	196	211
482	196	210
483	197	210
484	197	209
485	197	209
486	198	208
487	198	208
488	198	207
489	199	207
490	199	206
491	199	206
492	200	205
493	200	205
494	200	204
495	200	204
496	201	203
497	201	203
498	201	202
499	202	202
500	202	201
501	202	201
502	203	200
503	203	200
504	203	199
505	203	199
506	204	198
507	204	198
508	204	197
509	205	197
510	205	196
511	205	196
512	206	195
513	206	195
514	206	194
515	207	194
516	207	193
517	207	193
518	207	192
519	208	192
520	208	191
521	208	191
522	209	190
523	209	190
524	210	190
525	211	190
526	211	189
527	211	189
528	212	189
529	212	188
530	212	188
531	213	187
532	213	186
533	213	186
534	214	186
535	214	185
536	214	185
537	214	184
538	215	184
539	215	183
540	215	183
541	216	182
542	216	182
543	216	181
544	216	181
545	217	180
546	217	180
547	217	179
548	218	179
549	218	178
550	218	178
551	218	177
552	219	177
553	219	176
554	219	176
555	220	175
556	220	175
557	220	174
558	220	174
559	221	173
560	221	173
561	221	172
562	222	172
563	222	171
564	222	171
565	223	171
566	223	170
567	223	170
568	223	169
569	224	169
570	224	168
571	224	168
572	225	167
573	225	167
574	225	166
575	226	166
576	226	166
577	226	165
578	227	165
579	227	164
580	227	164
581	228	163
582	228	163
583	228	162
584	228	162
585	229	161
586	229	161
587	229	161
588	230	160
589	231	160
590	231	160
591	231	159
592	231	159
593	232	158
594	232	158
595	232	157
596	233	157
597	233	156
598	233	156
599	233	155
600	234	155
601	234	155
602	234	154
603	235	154
604	235	153
605	235	153
606	236	152
607	236	152
608	236	151
609	236	151
610	237	151
611	237	150
612	237	150
613	238	149
614	238	149
615	238	148
616	239	148
617	239	147
618	239	147
619	239	147
620	240	146
621	240	146
622	241	145
623	241	145
624	241	144
625	241	144
626	242	144
627	242	143
628	242	143
629	243	142
630	243	142
631	243	141
632	244	141
633	244	141
634	244	140
635	244	140
636	245	139
637	245	139
638	245	138
639	246	138
640	246	138
641	246	137
642	246	137
643	247	136
644	247	136
645	247	135
646	248	135
647	248	134
648	248	134
649	249	134
650	249	133
651	249	133
652	249	132
653	250	132
654	250	131
655	250	131
656	251	131
657	251	130
658	251	130
659	252	129
660	252	129
661	252	128
662	252	128
663	253	128
664	253	127
665	253	127
666	254	126
667	254	126
668	254	126
669	255	125
670	255	125
671	255	124
672	256	124
673	256	124
674	256	123
675	257	123
676	257	122
677	257	122
678	258	121
679	258	121
680	258	121
681	258	120
682	259	120
683	259	119
684	259	119
685	260	119
686	260	118
687	260	118
688	261	117
689	261	117
690	261	116
691	261	116
692	262	116
693	262	115
694	262	115
695	263	114
696	263	114
697	263	114
698	263	113
699	264	113
700	264	112
701	264	112
702	265	111
703	265	111
704	265	111
705	265	110
706	266	110
707	266	109
708	266	109
709	267	109
710	267	108
711	267	108
712	267	107
713	268	107
714	268	107
715	268	106
716	269	106
717	269	105
718	269	105
719	270	105
720	270	104
721	271	104
722	271	103
723	271	103
724	271	103
725	272	102
726	272	102
727	272	101
728	273	101
729	273	101
730	273	100
731	274	100
732	274	99
733	274	99
734	274	99
735	275	98
736	275	98
737	275	97
738	276	97
739	276	97
740	276	96
741	277	96
742	277	95
743	277	95
744	278	95
745	278	94
746	278	94
747	279	94
748	279	93
749	279	93
750	279	92
751	280	92
752	280	92
753	280	91
754	281	91
755	281	90
756	281	90
757	281	90
758	282	89
759	282	89
760	282	88
761	283	88
762	283	88
763	283	87
764	284	87
765	284	87
766	285	86
767	285	86
768	285	85
769	286	85
770	286	85
771	286	84
772	287	84
773	287	83
774	287	83
775	288	83
776	288	82
777	288	82
778	289	82
779	289	81
780	289	81
781	290	80
782	290	80
783	290	80
784	290	79
785	291	79
786	291	78
787	291	78
788	292	78
789	292	77
790	292	77
791	292	76
792	293	76
793	293	76
794	293	75
795	294	75
796	294	75
797	294	74
798	295	74
799	295	73
800	295	73
801	295	73
802	296	72
803	296	72
804	296	71
805	297	71
806	297	71
807	297	70
808	298	70
809	298	69
810	298	69
811	298	69
812	299	68
813	299	68
814	299	68
815	300	67
816	300	67
817	301	66
818	301	66
819	301	66
820	301	65
821	302	65
822	302	65
823	302	64
824	303	64
825	303	63
826	303	63
827	304	63
828	304	62
829	305	62
830	305	62
831	305	61
832	306	61
833	306	60
834	306	60
835	307	60
836	307	59
837	307	59
838	308	59
839	308	58
840	308	58
841	308	57
842	309	57
843	309	57
844	309	56
845	310	56
846	310	56
847	310	55
848	311	55
849	311	54
850	311	54
851	311	54
852	312	53
853	312	53
854	312	53
855	313	52
856	313	52
857	313	51
858	314	51
859	314	51
860	314	50
861	315	50
862	315	50
863	315	49
864	316	49
865	316	48
866	316	48
867	317	48
868	317	47
869	318	47
870	318	47
871	318	46
872	319	46
873	319	46
874	320	45
875	321	45
876	321	45
877	321	44
878	321	44
879	322	43
880	322	43
881	322	43
882	323	42
883	323	42
884	323	42
885	324	41
886	324	41
887	324	40
888	325	40
889	325	40
890	325	39
891	325	39
892	326	39
893	326	38
894	326	38
895	327	37
896	327	37
897	327	37
898	328	36
899	328	36
900	328	36
901	329	35
902	330	35
903	330	35
904	331	34
905	331	34
906	331	34
907	332	33
908	332	33
909	333	32
910	333	32
911	333	32
912	334	31
913	334	31
914	334	31
915	335	30
916	335	30
917	335	30
918	336	29
919	336	29
920	336	28
921	337	28
922	337	28
923	337	27
924	338	27
925	338	27
926	338	26
927	339	26
928	339	25
929	340	25
930	340	25
931	340	24
932	340	24
933	341	24
934	341	23
935	341	23
936	342	23
937	342	22
938	343	22
939	343	21
940	343	21
941	344	21
942	344	20
943	344	20
944	344	20
945	345	19
946	346	19
947	346	19
948	346	18
949	347	18
950	347	17
951	348	17
952	348	17
953	348	16
954	349	16
955	349	16
956	349	15
957	350	15
958	350	14
959	350	14
960	351	14
961	351	13
962	351	13
963	352	13
964	352	12
965	352	12
966	353	12
967	353	11
968	353	11
969	353	10
970	354	10
971	354	10
972	354	9
973	355	9
974	355	9
975	355	8
976	356	8
977	356	8
978	356	7
979	357	7
980	357	6
981	357	6
982	358	6
983	358	5
984	358	5
985	358	5
986	359	4
987	359	4
988	360	4
989	360	3
990	361	3
991	361	2
992	361	2
993	362	2
994	362	1
995	362	1
996	363	1
997	363	0
998	364	0
999	364	0
